CO_MUNICIP,CO_STATUS,DS_NOME,DS_NOMEPAD,NU_LATITUD,NU_LONGIT,NU_ALTITUD
310000,IGNOR,Munic√≠pio ignorado - MG,MUNICIPIO IGNORADO - MG,0,0,0
310010,ATIVO,Abadia dos Dourados,ABADIA DOS DOURADOS,-18.48756,-47.39683,753
310020,ATIVO,Abaet√©,ABAETE,-19.15585,-45.44619,645
310030,ATIVO,Abre Campo,ABRE CAMPO,-20.30145,-42.48099,590
310040,ATIVO,Acaiaca,ACAIACA,-20.36041,-43.14824,493
310050,ATIVO,A√ßucena,ACUCENA,-19.07671,-42.54621,474
310060,ATIVO,√Ågua Boa,AGUA BOA,-17.99105,-42.38964,432
310080,ATIVO,Aguanil,AGUANIL,-20.93743,-45.38947,841
310110,ATIVO,Aimor√©s,AIMORES,-19.49195,-41.07333,64
310120,ATIVO,Aiuruoca,AIURUOCA,-21.9759,-44.60282,979
310130,ATIVO,Alagoa,ALAGOA,-22.17114,-44.6381,1116
310140,ATIVO,Albertina,ALBERTINA,-22.19976,-46.6116,992
310160,ATIVO,Alfenas,ALFENAS,-21.42818,-45.94892,877
310163,ATIVO,Alfredo Vasconcelos,ALFREDO VASCONCELOS,-21.13942,-43.77389,1066
310180,ATIVO,Alpercata,ALPERCATA,-18.98683,-41.98913,193
310190,ATIVO,Alpin√≥polis,ALPINOPOLIS,-20.86185,-46.38948,870
310200,ATIVO,Alterosa,ALTEROSA,-21.25587,-46.14532,847
310205,ATIVO,Alto CaparaÛ,ALTO CAPARAO,-20.44436,-41.87308,959
310210,ATIVO,Alto Rio Doce,ALTO RIO DOCE,-21.02215,-43.41887,814
310220,ATIVO,Alvarenga,ALVARENGA,-19.41447,-41.72644,393
310240,ATIVO,Alvorada de Minas,ALVORADA DE MINAS,-18.73359,-43.36608,672
310250,ATIVO,Amparo do Serra,AMPARO DO SERRA,-20.51007,-42.8072,583
310285,ATIVO,Angel√¢ndia,ANGELANDIA,-17.72779,-42.26645,864
310290,ATIVO,AntÙnio Carlos,ANTONIO CARLOS,-21.31858,-43.75564,1059
310300,ATIVO,AntÙnio Dias,ANTONIO DIAS,-19.65147,-42.86955,445
310310,ATIVO,Ant√¥nio Prado de Minas,ANTONIO PRADO DE MINAS,-21.01823,-42.10934,332
310340,ATIVO,Ara√ßua√≠,ARACUAI,-16.85178,-42.06421,317
310350,ATIVO,Araguari,ARAGUARI,-18.64827,-48.19161,925
310360,ATIVO,Arantina,ARANTINA,-21.9161,-44.24695,1074
310370,ATIVO,Araponga,ARAPONGA,-20.66566,-42.52627,905
310375,ATIVO,Arapor√£,ARAPORA,-18.44191,-49.19009,448
310380,ATIVO,Arapu√°,ARAPUA,-19.03386,-46.1546,1020
310390,ATIVO,Ara√∫jos,ARAUJOS,-19.94679,-45.1667,799
310400,ATIVO,Arax√°,ARAXA,-19.59133,-46.94001,990
310410,ATIVO,Arceburgo,ARCEBURGO,-21.36018,-46.94435,724
310440,ATIVO,Argirita,ARGIRITA,-21.60755,-42.83645,273
310445,ATIVO,Aricanduva,ARICANDUVA,-17.86776,-42.55923,833
310450,ATIVO,Arinos,ARINOS,-15.92177,-46.10775,507
310460,ATIVO,Astolfo Dutra,ASTOLFO DUTRA,-21.3112,-42.85964,310
310470,ATIVO,Atal√©ia,ATALEIA,-18.04592,-41.11056,269
310480,ATIVO,Augusto de Lima,AUGUSTO DE LIMA,-18.11255,-44.27522,539
310490,ATIVO,Baependi,BAEPENDI,-21.95761,-44.89037,889
310500,ATIVO,Baldim,BALDIM,-19.28644,-43.95704,645
310510,ATIVO,BambuÌ,BAMBUI,-20.01189,-45.97904,685
310520,ATIVO,Bandeira,BANDEIRA,-15.88498,-40.55889,260
310530,ATIVO,Bandeira do Sul,BANDEIRA DO SUL,-21.72487,-46.38526,943
310540,ATIVO,Bar√£o de Cocais,BARAO DE COCAIS,-19.93585,-43.48488,750
310550,ATIVO,Bar√£o de Monte Alto,BARAO DE MONTE ALTO,-21.24788,-42.23915,200
310560,ATIVO,Barbacena,BARBACENA,-21.22492,-43.77619,1130
310570,ATIVO,Barra Longa,BARRA LONGA,-20.28364,-43.0372,419
310590,ATIVO,Barroso,BARROSO,-21.17629,-43.97538,925
310600,ATIVO,Bela Vista de Minas,BELA VISTA DE MINAS,-19.82585,-43.09693,645
310610,ATIVO,Belmiro Braga,BELMIRO BRAGA,-21.95013,-43.41572,497
310620,ATIVO,Belo Horizonte,BELO HORIZONTE,-19.93752,-43.92645,938
